threshold,precision,recall,specificity,f1
0.05,0.23728813559322035,1.0,0.0,0.3835616438356164
0.1,0.23728813559322035,1.0,0.0,0.3835616438356164
0.15,0.23728813559322035,1.0,0.0,0.3835616438356164
0.2,0.22448979591836735,0.7857142857142857,0.15555555555555556,0.3492063492063492
0.25,0.14285714285714285,0.21428571428571427,0.6,0.17142857142857143
0.3,0.25,0.07142857142857142,0.9333333333333333,0.1111111111111111
0.35,0.0,0.0,1.0,0.0
0.4,0.0,0.0,1.0,0.0
0.45,0.0,0.0,1.0,0.0
0.5,0.0,0.0,1.0,0.0
0.55,0.0,0.0,1.0,0.0
0.6,0.0,0.0,1.0,0.0
0.65,0.0,0.0,1.0,0.0
0.7,0.0,0.0,1.0,0.0
0.75,0.0,0.0,1.0,0.0
0.8,0.0,0.0,1.0,0.0
0.85,0.0,0.0,1.0,0.0
0.9,0.0,0.0,1.0,0.0
